student_id,cumulative_gpa,prereq_gpa,gpa_trend,credits_completed,avg_study_hours_weekly,lms_logins_per_week,assignment_submission_timing,forum_participation_count,video_lecture_completion_rate,study_session_regularity,co_curricular_hours_weekly,grit_proxy_score,final_outcome
S6419,3.53,3.33,-0.044,114,8.1,10,On-Time,2,0.97,5.8,1.7,0.95,Fail
S4778,2.56,1.92,0.015,17,19.2,8,Late,6,0.48,3.1,1.4,0.83,Pass
S1185,2.70,2.01,-0.185,73,13.2,7,On-Time,9,0.08,3.7,5.9,0.81,At-Risk
S2777,2.44,2.21,-0.144,27,14.5,12,Early,8,0.52,2.2,9.9,0.85,Pass
S9585,3.11,2.38,-0.158,76,12.8,15,Late,2,0.19,5.3,3.5,0.63,Fail
S3273,3.41,3.06,-0.007,95,10.7,13,Early,12,0.41,4.9,0.3,0.45,Pass
S3985,2.54,2.53,-0.175,20,18.7,11,Early,3,0.05,1.5,11.7,0.89,Pass
S6004,2.03,3.50,-0.035,51,8.1,4,Early,16,0.66,3.8,13.8,0.87,At-Risk
S1196,3.16,1.68,-0.185,17,21.9,12,Late,14,0.96,4.9,2.5,0.16,Pass
S4458,3.00,1.93,0.012,16,21.5,13,Early,9,0.26,3.4,10.6,0.50,Pass
S6645,2.74,3.08,-0.077,25,19.6,9,Late,16,0.03,1.4,8.8,0.80,Pass
S7673,2.68,3.15,0.113,106,9.5,9,Early,1,0.07,5.6,8.6,0.19,Pass
S5802,2.34,2.60,-0.189,40,7.4,11,On-Time,12,0.61,2.6,10.0,0.85,Pass
S1280,3.03,3.42,-0.065,48,10.1,3,Late,3,0.45,4.7,0.7,0.79,Pass
S2847,2.53,2.88,-0.112,103,16.2,7,On-Time,7,0.06,5.3,1.3,0.22,Pass
S9801,2.06,3.73,0.078,102,19.5,7,On-Time,7,0.08,4.9,10.9,0.95,At-Risk
S7596,2.17,3.14,0.200,117,14.9,6,Late,13,0.75,1.4,6.2,0.11,Fail
S8200,2.85,3.67,-0.190,101,17.0,15,Early,1,0.12,4.0,3.9,0.15,Pass
S6669,3.53,2.12,-0.172,117,17.4,6,On-Time,17,0.24,4.2,3.8,0.70,At-Risk
S6672,2.98,3.42,0.121,98,15.2,9,Late,15,0.51,2.3,8.9,0.03,Fail
S8913,2.10,1.63,-0.019,37,14.6,12,On-Time,7,0.84,1.8,8.4,0.02,Pass
S2697,2.49,3.87,0.060,101,14.0,7,Late,4,0.62,3.9,6.2,0.90,Pass
S3076,2.75,3.22,-0.015,33,11.6,11,Late,18,0.27,5.3,4.1,0.19,Fail
S7333,2.40,2.35,-0.016,32,20.7,14,Late,11,0.09,3.8,14.2,0.59,Fail
S7727,2.48,2.99,0.184,92,10.3,13,Late,14,0.68,4.5,2.9,0.79,At-Risk
S1764,3.62,1.52,0.096,42,14.5,11,Early,15,0.98,1.2,13.3,0.41,Pass
S6426,3.62,2.06,0.130,87,16.0,7,On-Time,2,0.90,4.5,0.6,0.54,At-Risk
S4098,2.45,3.82,-0.109,100,16.4,15,Early,4,0.05,4.0,9.8,0.55,Pass
S2151,3.56,2.53,0.074,75,10.0,14,On-Time,5,0.89,2.8,13.0,0.25,Pass
S3411,2.56,1.63,0.104,40,23.5,11,Late,12,0.45,4.8,13.3,0.54,Pass
S1966,2.98,1.76,0.165,90,6.8,7,Late,9,0.48,4.2,9.5,0.97,Pass
S4047,3.41,3.00,-0.054,58,9.2,5,Late,6,0.53,2.9,2.2,0.10,Pass
S3942,2.52,2.12,0.142,69,16.0,4,Late,19,0.40,5.1,1.3,0.41,Pass
S9163,3.29,3.02,0.055,64,7.6,14,Early,13,0.98,2.8,14.2,0.17,Pass
S4334,2.07,3.93,-0.075,15,9.5,7,On-Time,1,0.44,5.6,12.8,0.62,At-Risk
S6525,2.71,3.28,-0.065,24,22.9,9,On-Time,10,0.16,3.8,14.1,0.21,Pass
S6996,2.42,1.51,-0.086,82,14.2,3,Early,9,0.99,2.1,12.1,0.90,Fail
S1560,2.45,2.03,-0.099,102,24.8,3,Late,10,0.72,5.6,6.6,0.71,Pass
S8058,3.53,2.38,0.176,49,8.5,6,On-Time,12,0.76,1.2,10.3,0.99,Pass
S7644,3.96,2.42,-0.076,103,7.6,13,Early,16,0.49,5.7,2.0,0.08,Pass
S9848,3.23,2.04,0.146,95,5.0,5,Late,15,0.76,5.0,14.1,0.48,Pass
S2658,2.35,3.82,0.174,99,14.9,12,On-Time,17,0.53,2.8,1.0,0.57,Pass
S1060,2.43,1.91,0.014,114,17.4,10,On-Time,14,0.54,2.4,12.6,0.48,Pass
S4779,3.88,3.87,0.062,20,9.9,12,Early,0,0.55,5.9,13.3,0.70,Fail
S2177,2.84,2.90,-0.175,118,12.7,8,Late,10,0.65,2.2,12.7,0.56,Fail
S6529,3.93,3.55,0.188,19,9.1,12,Late,3,0.46,5.9,5.1,0.69,Pass
S5147,3.21,2.05,-0.133,30,8.6,14,Early,10,0.41,1.7,3.2,0.90,Pass
S1072,3.41,2.98,-0.021,15,23.1,11,Early,8,0.30,2.3,14.4,0.33,Pass
S5300,2.03,2.38,-0.030,32,15.5,8,On-Time,13,0.90,2.4,12.6,0.70,Pass
S1761,3.80,2.71,-0.162,104,20.2,12,On-Time,19,0.28,1.2,1.7,1.00,Pass
S8522,2.75,3.30,0.094,94,23.8,7,Late,3,0.13,5.8,6.1,0.92,Pass
S9932,2.58,3.27,0.185,53,17.1,12,Late,3,0.18,5.9,2.7,0.98,Pass
S4676,3.51,1.64,-0.170,60,15.9,7,Late,0,0.60,1.8,10.4,0.10,At-Risk
S2956,3.22,2.78,-0.199,82,12.6,8,On-Time,6,0.95,1.7,1.0,0.97,Pass
S6275,3.33,3.38,-0.014,75,23.7,8,On-Time,7,0.99,2.4,3.5,0.62,Pass
S5532,3.63,2.68,-0.128,88,8.2,15,Late,16,0.56,3.7,14.2,0.93,Pass
S8403,2.86,3.42,-0.113,87,10.5,5,On-Time,10,0.17,1.8,2.0,0.08,Fail
S1233,3.12,1.58,0.134,64,12.2,9,Early,11,0.14,4.8,3.2,0.08,Pass
S4888,3.60,3.50,-0.036,116,18.1,5,Early,16,0.40,3.1,3.1,0.97,Pass
S8310,3.92,2.29,-0.086,115,9.5,13,Early,15,0.28,5.5,11.2,0.24,Pass
S6723,3.60,3.31,0.052,22,19.6,9,Early,19,0.85,1.1,4.9,0.62,Fail
S4727,3.08,1.93,0.076,75,16.4,13,Late,14,0.71,4.9,5.7,0.33,Pass
S8735,3.68,2.10,0.181,40,15.8,13,Early,13,0.31,6.0,0.5,0.33,Pass
S8471,2.98,2.64,-0.136,116,20.3,15,Late,18,0.11,2.3,9.6,0.21,Fail
S3514,2.14,3.53,-0.130,69,18.0,9,On-Time,7,0.20,3.8,6.1,0.83,Pass
S7088,2.32,2.97,-0.153,97,24.4,3,Late,15,0.24,1.0,11.0,0.72,Pass
S6577,2.03,3.58,-0.078,47,14.7,4,Early,4,0.78,2.8,2.1,0.93,Pass
S6485,3.51,2.38,0.159,116,17.0,8,Late,19,0.30,2.8,11.6,0.93,Pass
S2798,2.80,1.62,-0.084,37,24.2,14,On-Time,10,0.64,1.3,14.2,0.47,Fail
S9980,2.74,3.85,0.048,24,6.7,4,Early,10,0.52,3.9,4.0,0.77,Pass
S3070,2.57,2.08,-0.198,18,11.6,15,On-Time,4,0.43,1.7,2.1,0.43,Pass
S8589,2.35,2.11,-0.084,23,21.9,7,On-Time,19,0.04,1.8,12.8,0.75,Fail
S4236,2.81,1.74,-0.006,26,11.0,5,Early,11,0.87,5.4,7.4,0.43,Pass
S9585,3.88,2.52,-0.137,28,15.5,10,Late,15,0.01,4.0,4.5,0.03,Pass
S5257,3.59,2.70,-0.033,102,12.7,3,On-Time,7,0.96,4.6,5.4,0.35,Fail
S4284,3.49,3.08,-0.067,103,14.5,6,On-Time,18,0.97,2.1,10.4,0.76,Pass
S7632,3.29,3.39,0.143,60,15.3,10,Late,4,0.46,5.1,0.4,0.26,Fail
S1100,3.94,1.99,0.055,85,14.7,9,Late,0,0.41,3.3,14.6,0.56,Fail
S9073,2.81,2.78,-0.105,24,22.9,4,Late,19,0.65,4.9,4.9,0.61,Pass
S6836,3.09,3.46,0.089,79,20.4,15,Late,5,0.68,2.2,9.8,0.35,Pass
S8427,2.29,2.68,0.032,32,7.7,12,Early,13,0.29,4.7,7.4,0.63,At-Risk
S1237,2.79,1.53,-0.032,27,9.3,10,Early,19,0.09,3.8,11.6,0.42,Pass
S3844,2.33,3.15,0.196,95,16.5,8,On-Time,7,0.87,4.5,4.0,0.01,Pass
S3779,2.46,2.09,-0.055,38,22.0,9,On-Time,5,0.23,3.8,2.8,0.67,At-Risk
S2205,3.74,3.57,-0.041,73,23.3,3,Early,13,0.07,1.1,4.2,0.85,Pass
S7724,2.94,2.96,0.131,18,16.5,11,Late,18,0.65,4.0,0.0,0.20,At-Risk
S3787,3.70,1.83,0.011,98,6.6,11,Early,5,0.54,2.1,9.3,0.77,Pass
S6411,3.06,2.20,0.143,51,8.2,4,Early,11,0.63,4.5,5.0,0.11,At-Risk
S7190,2.51,1.61,-0.144,81,11.1,10,Early,9,0.84,1.2,11.1,0.39,Fail
S3805,2.56,1.89,0.049,78,14.4,10,Late,4,0.38,2.1,4.3,0.51,At-Risk
S7508,2.82,2.85,0.010,82,15.4,14,On-Time,11,0.69,4.8,7.8,0.97,Fail
S9296,3.53,2.71,-0.193,20,24.4,7,On-Time,15,0.33,4.8,2.9,0.86,At-Risk
S5748,3.34,2.73,-0.114,84,24.0,14,On-Time,18,0.46,4.6,10.0,0.34,Pass
S7740,2.47,3.97,0.012,32,13.3,8,On-Time,19,0.77,3.0,1.4,0.47,Fail
S2505,3.04,2.45,0.196,97,24.3,8,Early,11,0.90,1.3,4.5,0.09,At-Risk
S3763,2.65,1.94,-0.060,48,22.6,15,On-Time,15,0.73,1.2,6.9,0.35,Pass
S2883,3.90,1.93,-0.159,88,9.1,9,Early,2,0.13,5.7,12.3,0.95,Fail
S5302,3.16,3.64,0.090,88,24.5,12,On-Time,8,0.03,1.4,3.1,0.20,Pass
S5666,2.10,2.85,0.105,37,23.7,6,Late,12,0.85,4.0,0.2,0.50,Pass
S9407,2.34,3.88,0.029,67,11.5,6,On-Time,8,0.70,3.1,13.4,0.78,Fail
S3741,3.76,2.09,0.147,21,17.7,4,On-Time,0,0.87,1.7,6.1,0.09,Pass
S8283,3.77,2.87,-0.065,47,11.3,12,Late,7,0.56,3.7,3.6,0.37,Pass
S4770,3.15,3.49,-0.199,114,22.9,8,On-Time,12,0.79,1.6,13.4,0.97,Pass
S6590,2.71,1.93,-0.159,102,6.2,7,On-Time,0,0.06,5.8,12.6,0.63,Pass
S9110,3.39,2.65,0.060,102,15.0,10,Early,17,0.04,4.9,8.8,0.78,Pass
S4989,3.09,2.42,0.179,94,18.3,4,On-Time,16,0.45,5.8,2.3,0.62,Pass
S7986,3.73,2.31,0.080,67,20.6,10,Late,9,0.05,1.8,13.5,0.16,Fail
S3939,2.99,2.66,0.024,116,18.4,15,Early,12,0.08,2.9,10.9,0.13,Fail
S1915,3.19,3.45,-0.133,51,10.1,14,Late,11,0.81,5.0,14.5,0.70,Pass
S9742,2.58,3.11,-0.164,113,21.7,3,Late,8,0.03,5.6,10.5,0.16,Fail
S3375,2.82,1.95,-0.128,58,14.3,12,Early,9,0.53,3.4,2.7,0.10,Pass
S6844,2.60,2.05,-0.093,58,6.4,15,Early,14,0.97,3.4,8.1,0.78,Pass
S5726,2.42,3.41,-0.113,90,6.6,4,On-Time,6,0.68,2.1,1.7,0.63,Pass
S4378,3.35,2.02,0.101,54,19.3,6,On-Time,18,0.29,5.4,14.9,0.16,Fail
S8386,3.77,3.54,0.035,94,10.6,7,Early,3,0.21,4.2,8.8,0.74,Pass
S3963,2.11,1.75,0.100,27,25.0,10,Late,16,0.42,4.8,5.5,0.85,Fail
S8250,2.30,1.79,-0.132,49,11.8,10,Early,3,0.01,3.5,0.8,0.02,Pass
S5751,3.15,3.79,0.150,95,20.6,14,Early,14,0.46,4.6,14.4,0.35,Pass
S2362,3.36,2.93,-0.041,76,15.1,15,On-Time,8,0.66,3.2,2.8,0.39,Pass
S7721,2.21,2.80,-0.103,107,15.6,4,Late,12,0.05,5.1,12.8,0.88,Pass
S1838,2.91,1.96,-0.006,47,7.1,10,On-Time,6,0.44,1.7,11.3,0.46,Fail
S7230,3.42,1.84,0.141,58,16.4,13,Early,8,0.45,1.9,12.9,0.45,Pass
S3035,2.76,1.96,0.167,66,22.8,3,Late,2,0.52,3.4,10.9,0.27,Fail
S4806,2.80,1.93,-0.129,108,16.1,7,On-Time,16,0.94,5.6,11.2,0.16,Pass
S5977,2.27,2.66,-0.125,23,18.1,13,Late,16,0.47,2.0,9.6,0.17,Pass
S1199,2.23,2.13,-0.187,97,9.2,4,Late,3,0.39,2.8,11.5,0.71,Fail
S8026,2.57,2.17,0.110,23,7.3,14,Late,17,0.00,4.0,2.7,0.00,At-Risk
S5673,3.90,2.79,0.075,40,11.1,4,Early,10,0.13,3.2,5.3,0.25,Pass
S8800,3.29,1.71,-0.045,100,24.5,14,Early,18,0.93,4.5,1.3,0.52,Pass
S1557,3.30,1.91,-0.114,118,23.1,11,Early,6,0.09,2.7,1.7,0.39,Pass
S8349,3.77,3.60,-0.026,64,11.5,10,On-Time,0,0.41,3.0,3.3,0.07,Pass
S4041,2.69,2.16,-0.155,60,21.7,12,Late,14,0.11,3.2,0.9,0.49,Pass
S7576,2.79,2.28,0.109,114,9.8,11,Early,14,0.45,1.9,14.0,0.50,Pass
S3221,3.04,3.47,-0.138,39,13.7,12,On-Time,16,0.58,3.6,1.8,0.25,At-Risk
S1908,2.76,3.51,0.074,99,17.5,7,Late,13,0.61,4.8,10.6,0.36,Pass
S8397,2.52,3.78,0.000,102,15.5,10,On-Time,14,0.31,1.5,12.6,0.47,Pass
S4218,2.49,1.65,-0.156,85,11.8,15,Late,9,0.01,2.2,14.4,0.27,Fail
S4621,3.48,2.89,-0.178,59,18.1,4,On-Time,16,0.60,2.0,5.6,0.10,Fail
S6998,2.35,2.64,-0.144,90,16.2,3,Early,14,0.56,2.7,3.2,0.66,Pass
S1493,3.90,2.00,-0.165,33,16.7,9,On-Time,15,0.63,2.1,11.1,0.55,Fail
S9778,2.03,2.47,0.096,64,12.3,4,On-Time,5,0.43,5.8,6.1,0.62,Pass
S3205,3.34,3.78,-0.169,76,5.2,4,Early,1,0.07,1.4,4.0,0.23,At-Risk
S3802,2.74,3.94,0.098,107,17.6,11,Late,15,0.79,1.1,7.9,0.13,Fail
S7844,3.46,3.13,0.133,30,16.1,8,Early,10,0.92,4.8,5.6,0.36,Pass
S3948,3.94,3.94,-0.166,75,7.1,5,Early,10,0.82,3.2,6.9,0.46,Pass
S8934,2.96,3.55,0.135,52,5.2,10,Late,9,0.64,4.9,7.9,0.98,Pass
S1898,2.55,3.87,-0.090,64,21.0,12,Late,7,0.91,3.5,1.8,0.84,Pass
S8234,3.03,1.62,0.152,98,21.0,12,On-Time,10,0.48,2.6,6.9,0.28,Pass
S2563,2.67,3.17,-0.142,67,16.2,12,On-Time,4,0.16,2.5,11.5,0.37,Fail
S3787,3.36,2.14,0.158,74,19.9,13,Late,10,0.14,2.3,10.5,0.17,Pass
S8751,3.81,3.57,0.131,88,24.4,5,Early,10,0.11,4.5,10.1,0.23,Fail
S7212,2.58,3.85,-0.165,17,5.4,13,On-Time,13,0.56,4.2,4.0,0.99,Fail
S8095,3.57,3.84,0.199,66,13.5,3,On-Time,17,0.73,1.9,13.9,0.06,Pass
S9257,3.22,3.30,-0.090,82,12.9,13,On-Time,19,0.11,2.9,10.1,0.65,Pass
S7219,2.93,2.71,-0.065,41,15.2,8,Late,6,0.65,2.6,8.7,0.65,Pass
S1591,3.22,1.85,0.005,34,19.6,10,On-Time,15,0.87,1.6,2.4,0.89,Pass
S5161,3.90,2.48,-0.082,24,17.1,3,On-Time,10,0.64,2.1,14.8,0.87,Fail
S9854,3.85,3.28,0.178,32,19.1,12,Late,0,0.30,3.1,2.4,0.81,Fail
S5048,3.77,3.14,-0.177,108,19.7,14,On-Time,6,0.37,2.7,6.4,0.83,Pass
S2951,2.23,2.06,0.167,65,20.8,3,Early,1,0.07,2.3,1.1,0.69,At-Risk
S1015,3.82,2.23,0.111,78,19.0,8,Late,12,0.35,3.9,14.3,0.29,Pass
S2602,2.25,2.16,-0.066,53,15.0,10,On-Time,4,0.16,3.7,3.0,0.02,Fail
S3377,2.55,2.71,-0.171,103,13.2,13,Early,4,0.20,3.5,7.6,0.38,At-Risk
S6137,2.07,1.60,-0.093,70,22.4,11,Early,11,0.27,2.1,0.3,0.82,Fail
S3053,3.39,1.58,0.101,77,15.4,4,On-Time,6,0.12,5.8,4.2,0.47,Fail
S1542,2.06,2.54,0.128,79,8.8,13,Early,13,0.35,2.4,9.8,0.18,Fail
S1235,2.92,3.99,0.120,52,10.2,9,On-Time,0,0.63,5.0,4.7,0.34,Pass
S2760,3.31,2.01,-0.109,101,24.7,14,Early,16,0.53,2.5,9.0,0.03,Pass
S5312,3.60,3.12,0.045,54,16.6,5,Late,1,0.55,1.2,5.6,0.65,Pass
S6231,2.56,3.30,-0.108,109,10.1,6,Late,11,0.20,1.3,10.9,0.21,Pass
S9042,2.95,3.04,-0.008,37,14.3,3,Late,19,0.24,1.1,0.7,0.59,Pass
S3696,3.70,2.96,0.068,40,24.3,11,Early,4,0.38,3.3,7.2,0.78,Pass
S1970,3.32,2.30,-0.070,73,16.8,3,Early,2,0.08,1.2,1.5,0.77,Pass
S6239,3.71,3.38,-0.058,54,20.2,8,Early,16,0.30,4.6,6.4,0.54,At-Risk
S8106,2.08,3.12,0.072,37,7.9,8,Late,12,0.20,1.8,1.6,0.44,At-Risk
S7588,3.16,3.56,-0.133,76,24.5,4,On-Time,8,0.29,4.9,13.7,0.83,Pass
S9843,2.35,3.66,0.174,66,24.3,13,On-Time,17,0.46,1.9,4.2,0.87,Pass
S3655,3.13,2.99,-0.029,103,21.9,6,Late,8,0.88,5.9,1.7,0.61,Pass
S9130,2.19,3.49,0.121,85,22.7,9,Early,13,0.72,1.2,9.1,0.06,Pass
S5342,2.73,3.59,-0.001,120,5.2,11,Early,4,0.18,5.9,3.3,0.71,Pass
S9891,2.37,2.10,-0.173,101,11.7,5,Early,11,0.28,2.1,2.7,0.64,Pass
S8581,3.06,2.39,0.057,36,9.6,5,Early,1,0.43,5.7,14.5,0.39,Fail
S2704,2.55,3.12,0.028,107,9.4,4,On-Time,6,0.63,4.6,12.6,0.04,Pass
S2634,3.65,2.23,-0.144,73,12.7,14,Late,10,0.93,5.6,4.7,0.18,Pass
S5713,4.00,1.61,-0.029,111,5.3,12,On-Time,15,0.45,5.6,0.2,0.91,Pass
S7637,3.45,3.13,0.056,18,19.1,7,Late,11,0.10,4.0,7.4,0.86,Fail
S8810,2.83,1.98,0.014,87,7.8,13,On-Time,15,0.82,1.1,12.4,0.83,At-Risk
S6401,2.28,1.82,0.111,89,10.0,13,Late,7,0.87,1.6,2.6,0.80,At-Risk
S1049,3.73,1.55,-0.083,61,15.8,7,On-Time,13,0.71,3.7,7.0,0.17,Pass
S4455,2.85,1.80,-0.192,21,18.0,15,Late,6,0.27,2.7,0.3,0.51,Pass
S9321,2.13,2.24,0.034,115,16.6,5,On-Time,14,0.75,1.3,11.8,0.31,Pass
S2347,3.16,1.62,0.118,97,6.6,10,Early,0,0.29,2.0,5.5,0.39,Fail
S4278,2.98,2.86,-0.190,102,7.6,13,On-Time,17,0.14,2.8,2.5,0.02,At-Risk
S6187,3.51,3.76,0.134,79,15.3,6,On-Time,18,0.01,3.2,3.4,0.85,Pass
S6500,3.93,2.06,-0.029,19,23.8,12,Early,17,0.96,4.4,9.4,0.20,At-Risk
S4445,3.97,1.57,0.114,71,8.7,12,On-Time,14,0.93,3.3,7.9,0.52,At-Risk
S5921,3.06,1.85,0.023,95,9.5,6,On-Time,12,0.62,2.1,2.8,0.73,Pass
S9998,2.32,1.94,-0.167,34,11.7,12,On-Time,12,0.60,3.9,8.9,0.90,Fail
S9501,3.12,1.82,-0.159,51,16.2,12,Early,10,0.59,6.0,7.1,0.66,Pass
S5428,2.55,3.50,-0.184,74,8.8,14,On-Time,2,0.47,2.7,13.1,0.04,At-Risk
S1142,2.21,3.92,0.164,88,24.2,15,Late,9,0.40,5.5,8.6,0.68,Pass
S7568,3.82,3.03,-0.111,111,9.2,8,Late,15,0.02,2.5,14.1,0.70,Fail
S2868,3.03,2.90,-0.010,95,10.0,8,Early,17,0.84,5.7,2.2,0.72,Pass
S8299,3.91,2.41,-0.179,110,16.2,5,On-Time,12,0.07,5.5,10.6,0.56,Pass
S3241,2.56,2.33,0.069,52,18.5,7,Late,16,0.51,4.9,12.1,0.91,At-Risk
S7595,3.21,3.78,0.066,21,21.8,13,Late,6,0.45,3.9,13.9,0.82,Pass
S5036,2.34,3.86,0.096,35,20.1,15,On-Time,14,0.49,4.1,10.2,0.78,Fail
S3824,3.19,2.73,-0.191,61,6.6,11,Late,3,0.81,2.7,13.5,0.96,At-Risk
S3161,3.14,1.94,0.006,37,13.2,11,On-Time,3,0.35,1.9,4.9,0.61,Pass
S4291,3.35,2.22,-0.091,72,24.5,4,Early,10,0.77,2.2,7.7,0.82,Pass
S9831,2.19,1.78,0.168,23,10.8,6,Late,17,0.39,1.0,12.0,0.16,Pass
S2037,2.71,2.03,-0.059,66,12.4,4,On-Time,11,0.25,3.5,6.1,0.87,At-Risk
S9987,2.90,2.94,0.077,18,13.2,13,Late,19,0.12,6.0,0.4,0.58,Fail
S8885,3.76,3.91,0.144,58,24.4,13,Late,2,0.08,3.7,7.6,0.79,Pass
S8970,3.08,3.46,-0.052,107,5.1,7,Early,13,0.98,2.3,6.5,0.56,Fail
S9736,2.94,2.31,-0.140,36,12.4,3,Late,18,0.89,3.0,11.3,0.21,Fail
S1442,3.68,2.16,0.011,49,17.6,7,On-Time,16,0.36,1.5,11.5,0.79,At-Risk
S9119,3.61,3.22,0.079,53,9.9,5,Early,0,0.17,3.8,0.8,0.83,Fail
S5558,3.96,1.64,-0.095,71,15.4,14,On-Time,6,0.78,2.7,3.4,0.58,At-Risk
S7984,3.50,3.73,0.087,35,22.2,13,On-Time,6,0.69,4.3,8.3,0.65,At-Risk
S9390,3.25,1.76,0.171,107,9.3,7,Early,1,0.44,5.4,12.4,0.84,Fail
S9753,2.72,2.05,-0.197,38,20.9,10,Late,15,0.04,5.2,1.5,0.56,At-Risk
S9595,3.16,3.84,-0.155,17,13.0,11,Early,15,0.89,3.4,0.2,0.19,At-Risk
S1612,2.17,3.36,-0.173,110,23.7,8,Early,4,0.55,1.2,14.8,0.12,Pass
S7338,2.27,2.99,0.151,39,5.4,13,Early,9,0.05,4.8,7.2,0.46,Fail
S1062,2.58,3.59,-0.015,64,19.0,8,On-Time,2,0.38,4.8,14.0,0.62,At-Risk
S6467,3.41,3.52,-0.101,106,18.2,3,Early,16,0.46,4.2,5.0,0.27,Fail
S5714,3.90,3.94,-0.033,35,15.6,12,Early,19,0.85,5.8,4.9,0.34,Pass
S4931,3.31,2.48,0.175,37,7.2,15,Late,6,0.72,4.4,6.3,0.04,Pass
S8337,3.32,3.55,0.078,91,17.3,5,Late,8,0.09,1.8,10.3,0.15,Pass
S6454,2.87,3.88,-0.065,72,10.4,12,On-Time,16,0.26,1.4,14.1,0.08,Pass
S5152,3.76,2.63,0.074,101,22.9,8,On-Time,5,0.89,5.8,6.2,0.27,Pass
S7457,3.84,3.44,0.100,56,9.8,4,Late,7,0.30,4.0,4.6,0.09,At-Risk
S6383,2.76,3.95,0.113,39,10.5,5,On-Time,2,0.79,4.4,11.8,0.33,At-Risk
S4226,2.08,1.58,0.149,24,18.3,15,Late,4,0.11,5.2,4.1,0.78,At-Risk
S4051,2.01,2.24,0.195,111,7.4,12,Late,16,0.45,2.2,2.5,0.65,Pass
S2341,3.25,1.94,0.013,79,12.5,12,On-Time,2,0.47,5.7,3.9,0.79,Pass
S5022,3.32,1.86,0.105,56,24.8,15,On-Time,8,0.27,3.1,7.7,0.83,Fail
S1342,3.02,3.04,0.068,73,9.4,15,Early,17,0.41,1.9,14.9,0.90,At-Risk
S3304,3.06,2.50,-0.140,67,17.4,15,Early,10,0.24,1.8,1.4,0.48,Pass
S8652,3.81,3.14,0.032,66,8.7,9,On-Time,4,0.23,2.0,5.1,0.42,Pass
S8593,3.13,3.11,-0.151,40,8.0,13,Early,10,0.05,2.6,7.0,0.35,Pass
S1752,2.03,3.13,-0.048,65,20.2,14,On-Time,14,0.66,1.8,6.8,0.89,Pass
S5069,2.46,3.81,-0.120,15,17.6,13,Early,7,0.45,4.2,11.4,0.53,Fail
S9599,3.74,2.58,0.106,110,15.8,5,On-Time,4,0.42,2.9,1.1,0.94,Fail
S2447,2.95,3.58,-0.079,116,19.6,8,Late,7,0.85,4.9,1.2,0.09,At-Risk
S7299,2.91,3.95,0.191,62,6.6,12,Early,3,0.90,1.4,3.1,0.56,Fail
S8269,3.94,3.46,0.147,92,19.6,4,Late,11,0.20,5.2,4.9,0.83,At-Risk
S2030,2.13,2.37,-0.181,65,5.2,10,Early,15,0.20,3.4,13.9,0.43,Pass
S2454,3.20,2.95,-0.121,52,20.3,3,Late,0,0.08,1.1,1.7,0.30,Pass
S4214,3.82,3.58,-0.092,72,13.1,8,On-Time,13,0.29,1.2,7.7,0.64,Pass
S4093,2.37,1.95,-0.167,57,11.2,5,Early,8,0.07,3.5,0.5,0.17,Pass
S9936,3.98,2.48,0.180,30,12.6,14,On-Time,10,0.57,1.1,12.3,0.61,Pass
S5497,2.95,3.43,0.061,57,22.8,8,On-Time,2,0.36,4.4,2.1,0.71,Pass
S3620,2.35,2.32,-0.046,106,23.8,14,On-Time,4,0.54,2.8,12.7,0.24,Pass
S7495,2.78,1.64,-0.005,76,6.9,7,Late,8,0.60,3.6,10.2,0.63,Fail
S7947,3.20,2.00,-0.165,75,7.4,5,On-Time,2,0.84,3.8,9.6,0.35,Fail
S2977,2.95,3.51,0.189,88,21.0,14,Early,11,0.02,2.4,1.2,0.09,Fail
S1029,2.50,3.97,-0.086,18,11.4,10,On-Time,15,0.44,1.8,5.6,0.34,Pass
S7696,3.35,3.10,0.166,42,18.0,8,On-Time,0,0.77,3.1,2.5,0.03,Pass
S6833,3.63,2.84,0.058,87,23.4,13,On-Time,4,0.16,1.7,10.7,0.15,Pass
S3309,2.57,1.74,-0.038,116,20.7,3,Late,16,0.58,4.8,10.2,0.70,At-Risk
S7847,3.65,2.03,-0.096,87,7.9,6,Early,15,0.38,5.1,6.8,0.35,Fail
S8681,2.43,3.78,0.165,48,21.9,6,On-Time,2,0.53,5.5,14.4,0.47,Pass
S4007,3.98,3.55,0.154,35,8.3,6,Early,11,0.02,5.2,4.9,0.65,Pass
S9425,2.88,2.94,0.064,77,8.9,8,On-Time,9,0.27,5.6,15.0,0.84,Pass
S1866,3.62,3.48,-0.031,117,14.2,6,Early,15,0.80,3.5,2.5,0.53,Pass
S6703,3.52,1.82,-0.110,15,12.9,5,Early,9,0.27,2.4,9.1,0.80,Pass
S6020,2.88,2.99,0.062,23,13.8,4,Late,16,0.70,2.3,3.3,0.15,Pass
S5271,3.55,1.99,-0.041,26,24.3,10,Late,15,0.53,5.8,14.2,0.31,At-Risk
S3773,3.61,2.54,-0.111,19,10.6,5,Late,16,0.73,3.9,11.9,0.56,Pass
S3777,2.27,2.26,-0.081,66,11.8,11,Late,4,0.34,5.9,3.4,0.16,Fail
S6066,3.88,1.66,0.149,22,5.9,4,Late,14,0.86,5.8,1.3,0.07,Pass
S5309,3.97,2.53,0.091,86,7.4,4,Early,3,0.48,5.9,11.1,0.94,Fail
