student_id,cumulative_gpa,gpa_trend,failed_courses_count,credits_per_semester_avg,attendance_percentage,stream_choice_satisfaction,lms_engagement_score,assignment_lateness_rate,library_resource_usage,co_curricular_involvement,help_seeking_behavior,scholarship_status,is_first_generation_learner,location_type,dropout_status
S33369,1.19,-0.312,2,14.8,0.60,1,6.4,0.99,5,0,FALSE,TRUE,TRUE,Urban,1
S89702,4.00,0.243,0,17.6,0.94,4,24.0,0.07,48,3,TRUE,FALSE,FALSE,Rural,0
S36984,3.35,-0.136,1,15.6,0.95,3,12.0,0.37,31,2,TRUE,FALSE,FALSE,Urban,0
S91802,2.25,0.063,1,17.8,0.92,3,15.1,0.16,20,0,FALSE,FALSE,FALSE,Rural,0
S75660,3.38,-0.092,0,13.8,0.91,3,6.2,0.06,28,1,FALSE,TRUE,TRUE,Rural,0
S16459,2.34,-0.062,2,16.0,0.75,4,14.1,0.36,11,0,TRUE,TRUE,TRUE,Rural,0
S43628,2.60,0.016,0,14.8,0.74,2,12.8,0.05,18,3,TRUE,TRUE,TRUE,Urban,1
S37579,2.39,0.048,2,12.6,0.86,4,12.3,0.40,28,1,TRUE,FALSE,FALSE,Rural,0
S44221,3.24,-0.049,2,15.0,0.87,3,10.6,0.27,8,3,TRUE,TRUE,FALSE,Urban,1
S82162,3.30,0.284,0,15.9,0.93,5,17.3,0.01,35,2,TRUE,TRUE,TRUE,Urban,0
S58632,3.37,0.045,1,12.2,0.90,2,6.3,0.45,25,4,TRUE,TRUE,TRUE,Urban,1
S21904,3.79,0.106,0,15.4,0.92,4,21.4,0.04,22,2,TRUE,TRUE,FALSE,Rural,0
S43496,3.34,0.143,0,17.7,0.94,4,22.2,0.04,32,2,TRUE,TRUE,FALSE,Urban,0
S46221,3.29,0.069,1,12.1,0.94,4,11.3,0.45,29,1,FALSE,TRUE,FALSE,Rural,0
S40862,2.55,0.149,0,13.3,0.79,4,17.8,0.08,10,2,TRUE,FALSE,TRUE,Urban,0
S85164,2.86,-0.178,0,14.1,0.85,3,18.2,0.31,18,4,TRUE,FALSE,FALSE,Rural,0
S92207,3.86,0.037,0,17.4,1.00,5,17.7,0.07,52,2,TRUE,FALSE,FALSE,Urban,0
S25526,2.70,0.048,1,14.6,0.93,3,19.6,0.25,19,4,TRUE,TRUE,FALSE,Rural,0
S94186,3.66,0.298,0,15.5,0.91,5,19.7,0.01,43,1,TRUE,FALSE,FALSE,Urban,0
S39279,3.80,0.100,0,17.9,0.92,5,16.1,0.08,38,3,TRUE,FALSE,TRUE,Rural,0
S81695,3.77,0.050,0,16.9,0.95,4,21.9,0.08,50,3,TRUE,TRUE,TRUE,Rural,0
S30818,3.51,0.030,0,16.1,0.96,4,19.8,0.08,42,2,TRUE,TRUE,TRUE,Urban,0
S39817,3.13,0.100,1,16.2,0.74,2,15.9,0.33,32,0,FALSE,TRUE,FALSE,Rural,1
S12634,2.95,0.114,0,15.1,0.76,4,16.6,0.26,27,0,FALSE,FALSE,TRUE,Urban,0
S55751,1.94,-0.404,4,13.0,0.55,2,1.0,0.59,2,1,FALSE,TRUE,TRUE,Urban,1
S35684,3.72,0.010,0,16.2,1.00,5,16.1,0.03,53,1,TRUE,TRUE,TRUE,Rural,0
S24520,3.84,0.031,0,17.9,0.98,5,24.2,0.06,54,1,TRUE,FALSE,TRUE,Rural,0
S52231,1.96,-0.415,3,11.2,0.61,1,6.3,0.66,4,0,FALSE,FALSE,TRUE,Rural,1
S39474,3.48,0.062,0,17.4,0.97,4,23.6,0.07,48,2,TRUE,FALSE,TRUE,Rural,0
S47604,2.54,0.066,0,12.8,0.75,2,18.8,0.43,19,1,TRUE,TRUE,TRUE,Urban,0
S61221,3.25,0.025,0,15.6,0.92,4,21.4,0.07,28,3,TRUE,FALSE,FALSE,Urban,0
S62373,2.98,0.131,1,12.2,0.94,2,10.7,0.20,28,1,TRUE,TRUE,TRUE,Urban,0
S53274,2.24,0.045,1,12.5,0.75,3,8.2,0.41,9,2,TRUE,TRUE,FALSE,Urban,0
S46446,2.42,0.135,1,12.4,0.86,3,6.5,0.39,23,3,TRUE,FALSE,TRUE,Urban,0
S67419,3.36,0.092,0,18.0,0.86,4,10.6,0.43,34,1,TRUE,TRUE,FALSE,Rural,0
S54163,3.37,0.180,2,15.8,0.77,2,12.5,0.12,11,4,FALSE,FALSE,FALSE,Rural,0
S15139,3.43,0.037,0,16.4,0.96,5,19.9,0.06,48,1,TRUE,TRUE,TRUE,Urban,0
S91859,2.22,0.191,0,14.6,0.82,4,16.5,0.20,32,4,TRUE,FALSE,FALSE,Urban,0
S34364,3.36,0.175,0,13.3,0.95,3,17.9,0.45,6,2,FALSE,TRUE,TRUE,Urban,0
S57063,2.28,-0.084,1,17.3,0.86,4,19.3,0.41,26,2,TRUE,FALSE,TRUE,Urban,1
S42090,3.89,0.123,0,15.7,0.93,5,16.8,0.03,41,2,TRUE,TRUE,FALSE,Rural,0
S82576,3.61,0.255,0,17.0,0.93,4,19.8,0.07,32,1,TRUE,FALSE,FALSE,Urban,0
S86133,2.94,-0.098,0,17.0,0.90,3,16.9,0.17,26,1,TRUE,TRUE,TRUE,Rural,0
S55852,3.31,0.257,0,17.5,0.97,4,23.4,0.01,42,1,TRUE,FALSE,FALSE,Urban,0
S78031,2.89,0.144,0,13.7,0.86,4,9.5,0.07,18,2,TRUE,FALSE,FALSE,Urban,0
S40882,2.20,-0.015,1,13.7,0.83,2,12.1,0.14,34,0,TRUE,FALSE,FALSE,Rural,0
S56578,1.20,-0.257,1,12.2,0.42,2,4.3,0.84,8,1,FALSE,TRUE,FALSE,Urban,0
S31313,3.85,0.067,0,16.5,0.94,4,19.1,0.07,47,2,TRUE,TRUE,FALSE,Urban,0
S89272,3.73,0.073,0,15.5,0.90,4,21.6,0.04,31,2,TRUE,TRUE,FALSE,Rural,0
S97780,2.31,0.074,0,17.2,0.76,2,16.3,0.18,7,0,TRUE,FALSE,FALSE,Rural,0
S47037,1.93,-0.271,3,10.5,0.60,3,4.0,0.89,0,1,FALSE,TRUE,FALSE,Rural,1
S33978,2.90,-0.177,1,16.4,0.92,2,13.7,0.21,30,3,FALSE,TRUE,FALSE,Urban,0
S79507,3.55,0.157,0,16.3,0.99,5,17.1,0.09,27,1,TRUE,FALSE,FALSE,Rural,0
S91736,1.71,-0.389,4,14.7,0.55,2,4.0,0.57,6,0,FALSE,TRUE,FALSE,Urban,0
S65564,3.04,-0.092,0,14.4,0.89,2,13.3,0.43,9,0,FALSE,FALSE,TRUE,Rural,0
S63930,2.42,-0.013,2,12.9,0.71,3,13.9,0.17,16,2,TRUE,TRUE,FALSE,Urban,0
S71236,2.41,0.182,0,12.6,0.77,4,6.8,0.05,14,3,TRUE,FALSE,FALSE,Rural,1
S45602,2.78,-0.155,0,16.6,0.86,4,19.4,0.16,16,1,TRUE,TRUE,FALSE,Urban,0
S88012,3.35,0.085,0,12.7,0.78,3,11.1,0.20,8,2,TRUE,FALSE,TRUE,Rural,1
S36637,1.02,-0.327,3,9.4,0.51,1,4.5,0.95,1,0,FALSE,TRUE,FALSE,Urban,1
S89585,3.26,0.170,2,13.7,0.70,4,7.3,0.07,6,4,TRUE,TRUE,FALSE,Rural,1
S37596,3.18,0.079,0,16.6,0.87,3,7.4,0.18,11,2,FALSE,TRUE,TRUE,Urban,0
S46514,2.53,0.015,2,15.5,0.86,2,10.4,0.21,13,0,FALSE,FALSE,TRUE,Urban,0
S98510,3.98,0.239,0,17.6,0.92,4,22.6,0.05,57,1,TRUE,FALSE,TRUE,Urban,0
S56905,2.24,-0.008,1,14.6,0.75,3,10.6,0.20,6,1,TRUE,FALSE,FALSE,Urban,1
S90932,3.72,0.242,0,17.4,0.94,5,21.7,0.03,43,1,TRUE,TRUE,FALSE,Rural,0
S43191,3.84,0.028,0,17.0,0.91,4,21.0,0.03,53,1,TRUE,TRUE,TRUE,Rural,0
S56921,3.01,0.125,0,12.9,0.92,2,7.5,0.09,20,4,TRUE,FALSE,TRUE,Urban,0
S67908,2.84,-0.099,2,17.6,0.80,3,12.7,0.38,20,0,FALSE,TRUE,TRUE,Urban,0
S58906,3.74,0.077,0,17.3,0.99,4,21.9,0.06,23,3,TRUE,TRUE,FALSE,Urban,0
S28628,3.55,0.027,0,17.4,0.96,5,16.8,0.08,49,2,TRUE,FALSE,FALSE,Urban,0
S92506,2.94,0.193,2,16.1,0.72,3,13.0,0.12,24,4,FALSE,TRUE,FALSE,Urban,0
S53093,1.73,-0.431,1,11.0,0.66,2,7.2,0.73,0,0,FALSE,FALSE,TRUE,Rural,0
S70156,1.37,-0.398,1,11.8,0.46,1,5.6,0.74,7,1,FALSE,FALSE,FALSE,Urban,1
S42663,1.67,-0.297,2,13.6,0.50,1,0.9,0.42,2,1,FALSE,FALSE,FALSE,Urban,1
S98935,1.09,-0.195,2,13.1,0.59,1,7.7,0.70,7,0,FALSE,FALSE,FALSE,Urban,1
S29793,3.21,-0.160,1,18.0,0.87,3,10.0,0.34,6,3,TRUE,FALSE,TRUE,Rural,0
S16319,2.02,-0.173,3,13.8,0.60,2,6.5,0.92,1,1,FALSE,TRUE,TRUE,Rural,1
S31320,2.92,0.125,2,13.2,0.86,2,5.5,0.18,17,3,FALSE,TRUE,TRUE,Urban,0
S26603,3.90,0.094,0,16.1,0.92,5,24.4,0.08,42,3,TRUE,TRUE,TRUE,Urban,0
S52987,2.83,0.071,2,15.1,0.73,4,19.3,0.19,28,3,FALSE,TRUE,FALSE,Urban,1
S85891,2.70,0.001,1,15.0,0.86,3,9.4,0.16,17,0,TRUE,FALSE,FALSE,Rural,1
S97707,2.58,0.041,2,14.6,0.80,2,9.0,0.18,27,2,TRUE,FALSE,TRUE,Urban,0
S74306,3.38,0.130,0,17.4,0.92,4,16.5,0.04,36,3,TRUE,TRUE,FALSE,Rural,0
S91885,2.38,-0.017,0,14.0,0.78,2,14.5,0.26,29,2,TRUE,FALSE,FALSE,Rural,0
S26610,1.66,-0.382,2,14.4,0.48,1,1.7,0.45,6,0,FALSE,TRUE,TRUE,Urban,1
S88263,2.49,0.192,0,16.2,0.77,3,9.9,0.41,27,1,FALSE,FALSE,TRUE,Rural,0
S13450,3.73,0.266,0,15.4,0.91,5,17.2,0.02,57,2,TRUE,FALSE,TRUE,Rural,0
S31972,3.14,0.078,0,14.9,0.90,4,17.6,0.24,11,2,FALSE,TRUE,FALSE,Rural,0
S47642,2.45,-0.112,2,15.6,0.83,4,19.3,0.20,13,3,FALSE,FALSE,FALSE,Rural,0
S86178,2.59,0.051,2,17.9,0.78,4,11.1,0.43,15,4,TRUE,TRUE,FALSE,Rural,0
S89291,3.99,0.147,0,17.8,0.95,4,17.6,0.07,21,3,TRUE,FALSE,FALSE,Rural,0
S82436,3.08,0.051,2,15.7,0.82,2,18.7,0.11,33,3,TRUE,FALSE,TRUE,Rural,0
S76447,3.64,0.074,0,17.9,0.99,5,22.3,0.05,32,1,TRUE,FALSE,TRUE,Urban,0
S27916,2.48,-0.049,2,14.7,0.87,4,19.9,0.36,7,3,TRUE,TRUE,FALSE,Urban,1
S31982,1.18,-0.446,1,9.9,0.75,3,2.8,0.89,0,0,FALSE,TRUE,FALSE,Rural,1
S53173,3.18,-0.192,2,12.2,0.79,2,6.2,0.41,33,4,FALSE,FALSE,TRUE,Urban,0
S44112,3.63,0.165,0,15.7,0.95,5,23.1,0.08,59,3,TRUE,FALSE,FALSE,Rural,0
S32733,3.36,0.026,0,17.8,0.99,5,23.2,0.07,45,1,TRUE,FALSE,FALSE,Rural,0
S34279,3.09,-0.177,0,14.7,0.87,2,10.3,0.13,8,4,TRUE,FALSE,TRUE,Rural,1
S33868,1.54,-0.478,1,12.1,0.50,1,5.5,0.70,2,1,FALSE,FALSE,TRUE,Rural,0
S58467,2.98,-0.044,1,14.6,0.73,4,13.8,0.43,17,2,FALSE,FALSE,FALSE,Rural,0
S21819,3.03,-0.111,2,12.7,0.84,3,16.4,0.30,5,1,FALSE,FALSE,TRUE,Urban,1
S81605,2.47,0.095,2,14.1,0.74,3,7.3,0.21,12,2,FALSE,TRUE,FALSE,Urban,0
S23695,2.61,0.106,2,16.3,0.93,3,17.3,0.32,14,3,TRUE,TRUE,FALSE,Rural,0
S53748,3.40,0.157,0,16.3,0.91,5,22.0,0.03,57,3,TRUE,FALSE,FALSE,Urban,0
S96503,3.23,0.121,0,16.4,0.99,5,18.4,0.10,50,3,TRUE,FALSE,TRUE,Rural,0
S36459,3.85,0.173,0,17.2,0.96,5,18.7,0.10,28,1,TRUE,FALSE,FALSE,Urban,0
S48950,3.25,0.224,0,17.8,0.99,5,22.7,0.05,37,3,TRUE,TRUE,TRUE,Urban,0
S90778,1.08,-0.344,2,11.1,0.64,1,3.9,0.97,1,0,FALSE,TRUE,TRUE,Rural,1
S22689,3.62,0.128,0,17.9,0.93,4,17.5,0.08,33,1,TRUE,TRUE,TRUE,Rural,0
S70081,2.03,-0.270,2,13.9,0.45,1,7.2,0.82,2,0,FALSE,FALSE,FALSE,Rural,1
S97927,2.83,0.126,0,12.4,0.75,2,8.1,0.32,25,0,FALSE,FALSE,TRUE,Urban,0
S76169,1.87,-0.206,4,14.8,0.65,2,4.2,0.45,0,0,FALSE,TRUE,FALSE,Urban,1
S21074,3.53,0.033,0,16.5,0.93,5,17.2,0.08,47,3,TRUE,TRUE,FALSE,Urban,0
S74287,3.21,0.170,0,15.7,0.91,5,19.3,0.07,25,2,TRUE,TRUE,FALSE,Urban,0
S36473,3.08,-0.050,2,13.2,0.91,4,18.4,0.36,13,0,TRUE,TRUE,FALSE,Rural,0
S23026,2.97,-0.005,1,12.3,0.93,2,5.6,0.25,23,4,TRUE,TRUE,TRUE,Urban,1
S42150,3.02,0.109,2,16.5,0.80,2,11.4,0.41,32,0,FALSE,TRUE,FALSE,Rural,0
S13335,2.48,-0.183,1,13.6,0.78,3,16.1,0.43,12,1,TRUE,TRUE,TRUE,Rural,0
S89845,3.16,0.169,0,12.0,0.82,2,7.5,0.23,8,2,TRUE,FALSE,TRUE,Urban,0
S21498,3.85,0.258,0,17.5,0.92,4,24.2,0.06,30,3,TRUE,TRUE,TRUE,Urban,0
S91968,2.88,-0.142,2,14.2,0.90,4,14.8,0.36,6,0,FALSE,FALSE,TRUE,Rural,0
S19089,1.26,-0.300,4,9.6,0.74,3,4.6,0.53,8,0,FALSE,TRUE,FALSE,Urban,0
S86437,3.34,-0.052,0,12.8,0.93,2,10.8,0.41,17,2,FALSE,FALSE,FALSE,Rural,0
S28580,3.78,0.211,0,16.9,0.99,5,20.6,0.01,54,2,TRUE,FALSE,FALSE,Rural,0
S10882,3.11,-0.157,0,15.9,0.82,2,16.0,0.32,34,1,TRUE,TRUE,TRUE,Rural,0
S48705,3.21,0.225,0,15.8,1.00,5,16.3,0.05,27,1,TRUE,FALSE,FALSE,Urban,0
S65824,1.03,-0.367,3,12.0,0.42,2,6.9,0.91,2,0,FALSE,TRUE,TRUE,Urban,1
S77883,3.29,0.138,1,17.3,0.90,3,5.5,0.09,9,3,TRUE,TRUE,TRUE,Urban,1
S30431,3.68,0.040,0,16.6,0.95,4,20.5,0.04,53,1,TRUE,TRUE,TRUE,Rural,0
S39852,1.59,-0.221,2,13.1,0.55,2,1.3,0.91,4,0,FALSE,TRUE,FALSE,Urban,1
S21200,2.85,-0.092,1,16.9,0.84,2,7.1,0.29,9,0,TRUE,TRUE,TRUE,Urban,0
S77966,2.39,-0.068,1,15.2,0.80,2,15.6,0.37,34,2,TRUE,TRUE,FALSE,Rural,0
S83115,1.39,-0.312,4,10.2,0.79,2,6.9,0.71,6,1,FALSE,TRUE,TRUE,Rural,1
S94959,3.57,0.146,0,16.9,0.98,5,15.3,0.01,39,1,TRUE,TRUE,FALSE,Rural,0
S43504,2.35,0.004,2,12.1,0.91,4,12.7,0.18,16,4,FALSE,FALSE,TRUE,Rural,0
S98879,3.77,0.269,0,17.8,0.99,5,18.0,0.02,59,1,TRUE,TRUE,FALSE,Urban,0
S56216,3.74,0.226,0,15.0,0.92,4,21.0,0.09,30,3,TRUE,TRUE,FALSE,Rural,0
S55079,3.50,0.022,0,17.1,0.95,4,21.7,0.07,49,2,TRUE,FALSE,FALSE,Urban,0
S56848,1.65,-0.406,1,10.9,0.79,2,7.9,0.64,4,1,FALSE,FALSE,TRUE,Rural,0
S74024,3.69,0.045,0,15.1,0.93,4,22.0,0.08,51,2,TRUE,TRUE,TRUE,Urban,0
S96569,2.49,-0.013,0,13.7,0.74,3,15.3,0.27,7,2,TRUE,TRUE,FALSE,Urban,0
S51763,3.24,0.244,0,17.7,0.96,4,19.7,0.03,39,1,TRUE,TRUE,FALSE,Rural,0
S10162,3.65,0.230,0,17.8,0.97,5,22.1,0.03,27,1,TRUE,FALSE,TRUE,Urban,0
S27495,1.28,-0.156,3,10.4,0.77,2,0.6,0.51,0,1,FALSE,FALSE,TRUE,Urban,1
S81056,2.04,-0.220,4,10.1,0.79,2,3.4,0.94,5,1,FALSE,TRUE,TRUE,Rural,1
S69979,1.26,-0.218,4,10.4,0.55,3,7.3,0.40,5,0,FALSE,TRUE,FALSE,Urban,0
S18521,2.77,-0.082,2,13.0,0.85,2,6.3,0.40,26,1,TRUE,TRUE,FALSE,Urban,0
S17680,2.38,-0.087,0,14.6,0.89,4,7.9,0.12,26,2,FALSE,FALSE,TRUE,Rural,0
S27155,2.41,-0.059,2,17.6,0.91,4,8.7,0.31,14,4,TRUE,TRUE,TRUE,Urban,0
S13715,2.81,-0.148,2,16.6,0.93,3,10.8,0.34,27,0,FALSE,TRUE,TRUE,Rural,0
S46415,3.11,-0.175,2,17.2,0.88,3,7.6,0.21,9,1,FALSE,FALSE,TRUE,Rural,0
S54648,3.39,0.099,0,15.9,0.90,5,17.3,0.10,59,3,TRUE,FALSE,FALSE,Urban,0
S93554,3.37,-0.062,1,16.8,0.74,3,6.8,0.35,5,0,FALSE,FALSE,TRUE,Urban,0
S61401,3.65,0.221,0,17.1,0.95,4,15.4,0.09,25,2,TRUE,TRUE,FALSE,Urban,0
S77041,3.34,0.091,1,16.8,0.84,4,14.1,0.06,30,1,TRUE,FALSE,FALSE,Urban,0
S60130,3.63,0.108,0,15.9,0.92,5,22.8,0.08,34,3,TRUE,FALSE,FALSE,Rural,0
S90595,3.29,-0.023,0,16.2,0.76,3,7.3,0.09,22,1,TRUE,TRUE,TRUE,Rural,0
S60002,3.26,0.197,0,17.8,0.98,5,16.6,0.01,39,2,TRUE,FALSE,FALSE,Rural,0
S63716,3.50,0.120,0,15.6,0.94,5,20.7,0.00,26,2,TRUE,TRUE,FALSE,Rural,0
S11507,1.25,-0.312,3,9.7,0.70,2,2.2,0.52,4,1,FALSE,TRUE,TRUE,Urban,1
S28777,3.21,0.275,0,17.1,0.96,5,21.1,0.02,49,1,TRUE,TRUE,FALSE,Urban,0
S29676,3.62,0.186,0,15.7,1.00,5,16.2,0.03,20,2,TRUE,TRUE,FALSE,Rural,0
S99631,3.32,0.221,0,15.8,0.96,5,23.7,0.04,20,2,TRUE,FALSE,FALSE,Rural,0
S11198,2.24,-0.121,2,17.9,0.79,4,16.3,0.11,23,4,FALSE,TRUE,TRUE,Urban,0
S24195,2.99,-0.162,0,13.2,0.71,3,13.9,0.43,33,3,TRUE,TRUE,TRUE,Urban,1
S47824,1.42,-0.200,2,11.8,0.43,1,2.7,0.45,4,1,FALSE,FALSE,FALSE,Urban,1
S81483,2.01,-0.328,4,11.5,0.79,1,7.7,0.89,3,1,FALSE,TRUE,FALSE,Rural,1
S39475,3.94,0.051,0,17.4,0.95,4,17.9,0.03,53,2,TRUE,FALSE,TRUE,Rural,0
S81246,2.51,0.128,0,13.0,0.81,3,5.3,0.06,33,0,TRUE,TRUE,FALSE,Rural,1
S90254,2.59,-0.013,2,14.8,0.92,2,13.0,0.42,25,2,FALSE,FALSE,TRUE,Urban,1
S22642,3.26,-0.179,2,15.6,0.72,2,11.1,0.09,26,4,FALSE,TRUE,TRUE,Rural,0
S80028,2.91,-0.002,1,15.9,0.73,4,19.8,0.25,10,4,FALSE,TRUE,TRUE,Urban,0
S75693,3.39,-0.109,1,14.9,0.92,2,6.9,0.36,27,3,TRUE,FALSE,TRUE,Rural,0
S91285,1.12,-0.113,1,12.2,0.47,1,1.9,0.78,3,0,FALSE,TRUE,TRUE,Rural,1
S19321,1.50,-0.387,2,14.7,0.43,1,3.2,0.97,9,1,FALSE,TRUE,FALSE,Rural,1
S75090,3.14,-0.003,2,15.4,0.86,4,10.3,0.24,13,1,TRUE,FALSE,TRUE,Urban,0
S16150,3.21,0.056,0,15.3,0.98,4,19.2,0.02,32,2,TRUE,FALSE,TRUE,Urban,0
S14532,3.99,0.116,0,16.5,0.94,4,23.1,0.01,27,2,TRUE,TRUE,TRUE,Rural,0
S52880,3.23,0.028,0,15.4,0.91,5,22.8,0.08,59,2,TRUE,TRUE,FALSE,Rural,0
S80232,2.72,0.153,0,13.1,0.88,4,9.1,0.39,26,0,TRUE,TRUE,TRUE,Rural,0
S29876,1.43,-0.372,3,9.7,0.56,1,3.2,0.85,9,1,FALSE,FALSE,FALSE,Urban,1
S76519,3.96,0.026,0,16.7,1.00,5,16.0,0.04,55,3,TRUE,FALSE,FALSE,Rural,0
S81219,1.43,-0.278,4,12.9,0.40,1,7.3,0.45,2,0,FALSE,TRUE,TRUE,Rural,1
S79005,1.09,-0.307,4,11.2,0.73,3,6.4,0.55,2,1,FALSE,TRUE,FALSE,Rural,1
S97342,3.30,0.037,2,17.0,0.76,2,12.6,0.45,16,0,FALSE,FALSE,TRUE,Rural,0
S80203,2.44,-0.081,2,16.1,0.72,2,20.0,0.26,8,2,FALSE,TRUE,FALSE,Urban,0
S87960,2.20,0.049,2,14.0,0.72,2,5.5,0.32,26,3,TRUE,FALSE,FALSE,Urban,0
S44735,2.68,0.093,0,17.8,0.86,3,8.4,0.13,24,1,TRUE,FALSE,TRUE,Rural,0
S83782,3.61,0.175,0,16.8,0.99,4,19.8,0.09,20,2,TRUE,FALSE,FALSE,Urban,0
S69560,3.70,0.216,0,17.0,0.96,4,19.6,0.10,35,1,TRUE,TRUE,TRUE,Urban,0
S51095,3.40,0.074,0,17.5,0.92,5,24.8,0.09,34,2,TRUE,TRUE,FALSE,Urban,0
S26857,3.25,-0.103,0,14.8,0.81,3,6.9,0.39,21,3,TRUE,TRUE,TRUE,Rural,1
S90534,2.85,-0.163,1,13.2,0.84,3,13.4,0.43,33,2,TRUE,FALSE,FALSE,Urban,0
S44185,2.60,-0.048,0,17.1,0.89,4,7.5,0.34,34,4,FALSE,FALSE,TRUE,Rural,1
S91319,3.95,0.217,0,16.9,0.93,4,21.0,0.09,53,3,TRUE,TRUE,FALSE,Rural,0
S26747,3.27,0.056,0,17.7,0.93,4,17.6,0.04,54,3,TRUE,FALSE,TRUE,Urban,0
S69457,1.13,-0.237,2,14.0,0.54,3,2.0,0.85,3,1,FALSE,TRUE,TRUE,Urban,1
S84830,3.14,-0.165,1,16.4,0.85,2,12.9,0.15,29,2,TRUE,TRUE,FALSE,Rural,0
S54219,3.06,-0.006,0,13.2,0.93,2,12.2,0.32,17,0,TRUE,FALSE,TRUE,Rural,0
S12439,2.60,-0.144,2,14.1,0.83,3,5.4,0.08,33,1,TRUE,TRUE,FALSE,Urban,0
S97387,3.02,-0.199,1,13.1,0.75,2,10.8,0.42,30,4,TRUE,TRUE,TRUE,Rural,0
S59764,2.90,-0.186,2,14.1,0.71,3,15.6,0.32,31,2,FALSE,FALSE,FALSE,Urban,0
S35809,1.76,-0.474,3,10.2,0.64,1,1.3,0.70,5,1,FALSE,TRUE,FALSE,Urban,1
S93955,3.78,0.220,0,17.3,0.99,5,20.9,0.08,27,3,TRUE,TRUE,FALSE,Urban,0
S89708,3.25,0.035,0,15.6,0.75,3,19.8,0.16,16,3,FALSE,FALSE,TRUE,Urban,1
S13039,3.65,0.242,0,16.5,0.93,5,16.7,0.09,55,3,TRUE,TRUE,FALSE,Rural,0
S93696,3.25,0.099,1,13.0,0.84,4,7.9,0.22,17,3,FALSE,TRUE,FALSE,Urban,1
S13199,3.53,0.004,0,17.1,0.91,5,17.9,0.04,56,1,TRUE,TRUE,TRUE,Urban,0
S38552,3.21,0.080,0,17.0,0.94,4,22.5,0.00,32,3,TRUE,FALSE,TRUE,Rural,0
S35452,3.38,0.212,0,15.1,0.96,4,23.0,0.08,32,2,TRUE,FALSE,FALSE,Rural,0
S98489,3.36,-0.088,2,16.1,0.85,3,17.3,0.41,27,4,TRUE,TRUE,FALSE,Urban,0
S77570,3.20,-0.044,2,13.5,0.95,2,12.1,0.27,32,1,TRUE,TRUE,FALSE,Rural,0
S91369,3.44,0.197,0,17.0,0.94,4,20.8,0.01,55,3,TRUE,FALSE,TRUE,Rural,0
S15448,3.13,0.090,2,14.5,0.91,3,19.9,0.27,14,3,FALSE,TRUE,FALSE,Urban,1
S21376,3.12,-0.039,0,12.1,0.86,3,19.0,0.29,16,4,FALSE,TRUE,FALSE,Rural,0
S77264,2.22,0.092,2,14.1,0.91,3,12.5,0.20,30,3,TRUE,FALSE,FALSE,Rural,0
S73258,2.86,0.055,1,12.5,0.82,4,8.6,0.07,25,1,FALSE,TRUE,TRUE,Rural,0
S75747,3.15,0.154,2,12.3,0.83,4,18.5,0.18,27,1,FALSE,FALSE,TRUE,Rural,0
S46135,2.23,0.056,2,12.2,0.75,2,11.1,0.10,11,2,FALSE,TRUE,FALSE,Urban,0
S42831,1.60,-0.288,4,13.6,0.67,1,0.5,0.70,3,1,FALSE,FALSE,FALSE,Urban,1
S73230,3.35,0.104,0,17.1,0.91,5,22.5,0.04,45,2,TRUE,TRUE,TRUE,Urban,0
S92191,2.38,-0.172,1,15.3,0.89,2,17.5,0.45,11,1,FALSE,FALSE,TRUE,Urban,0
S99833,3.10,0.157,2,13.5,0.86,3,16.0,0.43,16,4,TRUE,FALSE,FALSE,Urban,0
S35305,3.55,0.189,0,17.2,0.93,4,15.7,0.02,22,3,TRUE,FALSE,FALSE,Rural,0
S98792,1.77,-0.321,4,11.3,0.42,2,2.4,0.63,7,1,FALSE,FALSE,TRUE,Urban,0
S28918,3.34,0.084,0,15.5,0.93,4,19.9,0.09,33,3,TRUE,TRUE,FALSE,Rural,0
S70186,2.29,-0.167,0,12.4,0.79,4,12.7,0.42,20,3,FALSE,TRUE,FALSE,Rural,0
S48104,3.28,0.245,0,16.1,0.99,4,20.3,0.03,24,3,TRUE,FALSE,FALSE,Rural,0
S94040,2.28,-0.072,0,13.0,0.93,3,18.2,0.07,11,4,FALSE,TRUE,FALSE,Rural,0
S20760,2.32,0.149,0,16.6,0.92,3,7.0,0.26,14,2,FALSE,FALSE,FALSE,Rural,0
S41666,2.05,-0.160,1,11.0,0.70,1,2.5,0.45,7,0,FALSE,FALSE,FALSE,Rural,1
S90889,3.63,0.275,0,17.5,0.92,4,19.3,0.09,26,2,TRUE,FALSE,TRUE,Urban,0
S16512,2.33,0.130,1,12.2,0.78,2,5.9,0.44,34,3,TRUE,FALSE,TRUE,Urban,0
S66249,1.56,-0.441,1,13.7,0.41,2,6.4,0.60,3,1,FALSE,FALSE,TRUE,Urban,1
S38249,2.68,-0.064,1,14.9,0.70,3,7.8,0.07,23,4,FALSE,FALSE,FALSE,Urban,1
S51496,1.86,-0.181,4,12.1,0.48,3,4.0,0.70,6,1,FALSE,TRUE,FALSE,Urban,1
S75741,3.23,0.147,0,17.9,0.91,4,15.9,0.03,28,1,TRUE,FALSE,FALSE,Rural,0
S52307,3.27,0.016,0,16.0,0.85,4,14.1,0.23,11,1,FALSE,FALSE,TRUE,Urban,0
S99932,3.58,0.221,0,16.7,0.91,5,15.5,0.01,36,1,TRUE,FALSE,FALSE,Urban,0
